id,name,latitude,longitude,dpcapacity,landmark,online date
5,State St & Harrison St,41.87395806,-87.62773949,19,30,2013-06-28
13,Wilton Ave & Diversey Pkwy,41.93250008,-87.65268082,19,66,2013-06-28
14,Morgan St & 18Th St,41.858086,-87.651073,15,163,2013-06-28
15,Racine Ave & 18Th St,41.85818061,-87.65648665,15,164,2013-06-28
16,Wood St & North Ave,41.910329,-87.672516,15,223,2013-08-12
17,Wood St & Division St,41.90332,-87.67273,15,246,2013-06-28
19,Loomis St & Taylor St,41.869417,-87.660996,15,139,2013-06-28
20,Sheffield Ave & Kingsbury St,41.90959193,-87.65349723,15,154,2013-06-28
21,Aberdeen St & Jackson Blvd,41.87772613,-87.65478743,15,157,2013-06-28
22,May St & Taylor St,41.8694821,-87.6554864,15,160,2013-06-28
23,Orleans St & Elm St,41.902924,-87.637715,15,172,2013-06-28
24,Fairbanks Ct & Grand Ave,41.89186,-87.62062,15,262,2013-06-28
25,Michigan Ave & Pearson St,41.89766,-87.62351,23,34,2013-06-28
26,Mcclurg Ct & Illinois St,41.89102,-87.6173,23,51,2013-06-28
27,Larrabee St & North Ave,41.91021,-87.6435,19,174,2013-06-28
28,Larrabee St & Menomonee St,41.91468,-87.64332,15,282,2013-06-28
29,Noble St & Milwaukee Ave,41.90068,-87.6626,15,290,2013-06-28
30,Ashland Ave & Augusta Blvd,41.899643,-87.6677,15,248,2013-06-28
31,Franklin St & Chicago Ave,41.89680204,-87.63563839,23,17,2013-06-28
32,Racine Ave & Congress Pkwy,41.87464,-87.65703,19,76,2013-06-28
33,State St & Van Buren St,41.877181,-87.627844,27,3,2013-06-28
34,Cannon Dr & Fullerton Ave,41.92675599,-87.63442878,15,124,2013-06-28
35,Streeter Dr & Illinois St,41.891071,-87.6122,35,22,2013-08-05
36,Franklin St & Jackson Blvd,41.87770796,-87.63532114,27,19,2013-06-28
37,Dearborn St & Adams St,41.87935636,-87.62979104,19,20,2013-06-28
42,Wabash Ave & Cermak Rd,41.85323876,-87.62533709,15,170,2013-06-28
43,Michigan Ave & Washington St,41.88389277,-87.62464914,43,1,2013-06-28
44,State St & Randolph St,41.8847302,-87.62773357,27,2,2013-06-28
45,Michigan Ave & Congress Pkwy,41.8760656,-87.62443336,15,40,2013-06-28
46,Wells St & Walton St,41.89993001,-87.63443007,19,46,2013-06-28
47,State St & Kinzie St,41.88918,-87.6277,15,50,2013-06-28
48,Larrabee St & Kingsbury St,41.897764,-87.642884,27,12,2013-06-28
49,Dearborn St & Monroe St,41.88131982,-87.62952092,23,49,2013-06-28
50,Clark St & Congress Pkwy,41.87593267,-87.63058454,27,9,2013-06-28
51,Clark St & Randolph St,41.88457623,-87.63188991,31,5,2013-06-28
52,Michigan Ave & Lake St,41.88605812,-87.62428934,23,43,2013-06-28
53,Wells St & Erie St,41.893832,-87.634195,19,64,2013-06-28
54,Ogden Ave & Chicago Ave,41.89636246,-87.65406127,19,44,2013-06-28
55,Halsted St & James M Rochford St,41.865861,-87.646611,15,166,2013-06-28
56,Desplaines St & Kinzie St,41.88871604,-87.64444785,19,39,2013-06-28
57,Clinton St & Roosevelt Rd,41.86711778,-87.64108796,15,327,2013-06-28
58,Ashland Ave & Armitage Ave,41.91785887,-87.668919,15,25,2013-06-28
59,Wabash Ave & Roosevelt Rd,41.867173,-87.62595501,19,31,2013-06-28
60,Dayton St & North Ave,41.91057803,-87.64942193,19,58,2013-06-28
61,Wood St & Milwaukee Ave,41.907655,-87.672552,15,221,2013-06-28
62,Mccormick Place,41.85137517,-87.61883465,15,106,2013-06-28
66,Clinton St & Lake St,41.88583274,-87.64138231,19,21,2013-06-28
67,Sheffield Ave & Fullerton Ave,41.92560188,-87.65370804,15,60,2013-06-28
68,Clinton St & Tilden St,41.875885,-87.640795,23,37,2013-06-28
69,Damen Ave & Pierce Ave,41.90939601,-87.67769193,19,65,2013-06-28
71,Morgan St & Lake St,41.88548331,-87.65230486,15,72,2013-06-28
72,State St & 16Th St,41.86012138,-87.62772919,15,148,2013-06-28
73,Jefferson St & Monroe St,41.880422,-87.642746,19,38,2013-06-28
74,Kingsbury St & Erie St,41.89384315,-87.64185116,23,265,2013-06-28
75,Canal St & Jackson Blvd,41.87811421,-87.63997112,35,138,2013-06-28
76,Lake Shore Dr & Monroe St,41.88105,-87.61697,11,300,2013-06-28
77,Clinton St & Madison St,41.8815824,-87.64127743,23,301,2013-06-28
80,Aberdeen St & Madison St,41.881487,-87.654752,19,156,2013-06-28
81,Daley Center Plaza,41.884337,-87.630183,47,23,2013-06-28
84,Green St & Milwaukee Ave,41.891733,-87.648727,19,33,2013-06-28
85,Michigan Ave & Oak St,41.90096039,-87.62377664,15,42,2013-06-28
86,Eckhart Park,41.89637337,-87.66098386,15,289,2013-06-28
87,Racine Ave & Fullerton Ave,41.92556258,-87.65840426,19,189,2013-06-28
88,May St & Randolph St,41.88397,-87.655688,15,155,2013-06-28
90,Millennium Park,41.8810317,-87.62408432,35,8,2013-06-28
91,Clinton St & Washington Blvd,41.88338,-87.64117,31,10,2013-06-28
92,Carpenter St & Huron St,41.894556,-87.653449,19,196,2013-06-28
93,Sheffield Ave & Willow St,41.913688,-87.652855,15,190,2013-06-28
94,Lincoln Ave & Armitage Ave,41.918273,-87.638116,19,146,2013-06-28
97,Museum Campus,41.865212,-87.617759,19,29,2013-06-28
98,Lasalle St & Washington St,41.882664,-87.63253,15,6,2013-07-15
99,Lake Shore Dr & Ohio St,41.89257,-87.614492,19,337,2013-07-15
100,Orleans St & Merchandise Mart Plaza,41.888243,-87.63639,23,13,2013-07-16
106,State St & Pearson St,41.897448,-87.628722,27,14,2013-08-01
108,Halsted St & Polk St,41.87184,-87.64664,19,27,2013-08-06
109,900 W Harrison,41.8745,-87.6498,19,28,2013-08-06
110,State St & Erie St,41.893975,-87.628623,23,45,2013-08-01
111,Sedgwick St & Huron St,41.894666,-87.638437,19,52,2013-08-01
112,Green St & Randolph St,41.884078,-87.648684,15,53,2013-07-29
113,Bissell St & Armitage Ave,41.91844,-87.65222,15,59,2013-09-05
114,Sheffield Ave & Addison St,41.94688,-87.65445,27,62,2013-08-02
115,Sheffield Ave & Wellington Ave,41.936253,-87.653566,23,67,2013-07-22
116,Western Ave & Winnebago Ave,41.915533,-87.687051,15,68,2013-07-26
117,Wilton Ave & Belmont Ave,41.94018,-87.65304,23,69,2013-08-02
118,Sedgwick St & North Ave,41.910579,-87.638618,19,70,2013-08-01
119,Ashland Ave & Lake St,41.88541,-87.66732,19,73,2013-07-28
120,Wentworth Ave & Archer Ave,41.854564,-87.631937,15,75,2013-08-06
121,Blackstone Ave & Hyde Park Blvd,41.802562,-87.590368,15,398,2013-08-28
122,Congress Pkwy & Ogden Ave,41.87501,-87.67328,15,81,2013-07-28
123,California Ave & Milwaukee Ave,41.922695,-87.697153,15,84,2013-07-26
124,Damen Ave & Cullerton St,41.855048,-87.675726,15,89,2013-08-03
126,Clark St & North Ave,41.911791,-87.631841,15,128,2013-07-29
127,Lincoln Ave & Fullerton Ave,41.925905,-87.64926,15,131,2013-10-29
128,Damen Ave & Chicago Ave,41.895769,-87.67722,15,132,2013-08-03
129,Blue Island Ave & 18Th St,41.857556,-87.661535,15,135,2013-07-25
130,Damen Ave & Division St,41.90331,-87.67695,15,136,2013-07-26
131,Lincoln Ave & Belmont Ave,41.939365,-87.668385,15,140,2013-09-23
132,Wentworth Ave & 24Th St,41.849237,-87.631715,15,149,2013-09-05
134,Peoria St & Jackson Blvd,41.877749,-87.649633,19,158,2013-07-25
135,Halsted St & 21St St,41.85378,-87.64665,11,162,2013-07-24
136,Racine Ave & 13Th St,41.865054,-87.656959,15,165,2013-07-31
137,Morgan Ave & 14Th Pl,41.862378,-87.651062,15,169,2013-07-31
138,Clybourn Ave & Division St,41.904509,-87.6405,15,171,2013-08-05
140,Dearborn Pkwy & Delaware Pl,41.899007,-87.629928,19,173,2013-08-01
141,Clark St & Lincoln Ave,41.915689,-87.6346,19,179,2013-08-16
143,Sedgwick St & Webster Ave,41.92197,-87.63854,15,191,2013-08-03
144,Larrabee St & Webster Ave,41.92175,-87.64401,15,193,2013-08-02
146,Loomis St & Jackson Blvd,41.877945,-87.662007,11,206,2013-07-28
147,Indiana Ave & 26Th St,41.8457,-87.62248,15,212,2013-07-23
148,State St & 33Rd St,41.834734,-87.625813,11,216,2013-08-27
149,Calumet Ave & 33Rd St,41.8349,-87.61793,11,217,2013-08-03
150,Fort Dearborn Dr & 31St St,41.838556,-87.608218,11,220,2013-07-23
152,Lincoln Ave & Diversey Pkwy,41.932225,-87.658617,15,226,2013-07-29
153,Southport Ave & Wellington Ave,41.93584,-87.6637,19,228,2013-07-25
154,Southport Ave & Belmont Ave,41.93949,-87.66378,15,229,2013-07-29
156,Clark St & Wellington Ave,41.93649682,-87.64753866,15,232,2013-08-02
157,Lake Shore Dr & Wellington Ave,41.936669,-87.636794,15,234,2013-08-01
158,Milwaukee Ave & Wabansia Ave,41.912616,-87.681391,15,243,2013-07-26
159,Claremont Ave & Hirsch St,41.907781,-87.685854,11,245,2013-07-26
160,Campbell Ave & North Ave,41.910535,-87.689556,15,257,2013-07-26
162,Damen Ave & Wellington Ave,41.93588,-87.67842,15,268,2013-07-25
163,Paulina St & Diversey Pkwy,41.93186,-87.67079,15,271,2013-07-29
164,Franklin St & Lake St,41.885837,-87.6355,23,272,2013-08-03
165,Clark St & Waveland Ave,41.94893,-87.65775,19,275,2013-08-03
166,Ashland Ave & Wrightwood Ave,41.92883,-87.668507,15,296,2013-07-25
167,Damen Ave & Coulter St,41.8492,-87.67564,11,306,2013-07-25
168,Michigan Ave & 14Th St,41.864059,-87.623727,19,310,2013-08-03
169,Canal St & Harrison St,41.874337,-87.639566,15,326,2013-07-23
170,Clinton St & 18Th St,41.85795,-87.640826,15,329,2013-07-25
171,May St & Cullerton St,41.855136,-87.654127,11,331,2013-07-25
173,Mies Van Der Rohe Way & Chicago Ave,41.89691,-87.621743,15,338,2013-08-01
174,Canal St & Madison St,41.882091,-87.639833,23,341,2013-07-28
175,Wells St & Polk St,41.872373,-87.633523,19,344,2013-08-03
176,Clark St & Elm St,41.903233,-87.631253,19,349,2013-08-01
177,Theater On The Lake,41.926277,-87.630834,15,350,2013-08-13
178,State St & 19Th St,41.856594,-87.627542,15,408,2013-07-23
179,Martin Luther King Dr & Oakwood Blvd,41.82256,-87.61615,15,420,2013-07-24
181,Lasalle St & Illinois St,41.890749,-87.63206,19,430,2013-07-21
183,Damen Ave & Augusta Blvd,41.899714,-87.677234,15,142,2013-07-26
184,State St & 35Th St,41.83104,-87.62688,19,82,2013-08-03
185,Stave St & Armitage Ave,41.917741,-87.691392,11,266,2013-07-26
186,Ogden Ave & Race Ave,41.891795,-87.658751,15,194,2013-07-28
188,Greenview Ave & Fullerton Ave,41.92533,-87.6658,15,295,2013-07-29
190,Southport Ave & Wrightwood Ave,41.92888,-87.66317,15,298,2013-08-06
191,Canal St & Monroe St,41.8807,-87.63947,23,56,2013-08-07
192,Canal St & Adams St,41.87923,-87.640015,27,11,2013-08-07
193,State St & 29Th St,41.841707,-87.626938,15,213,2013-08-23
194,State St & Wacker Dr,41.887155,-87.62775,11,339,2013-08-10
195,Columbus Dr & Randolph St,41.8853,-87.62077,23,263,2013-08-10
196,Cityfront Plaza & N Water St,41.889875,-87.621994,19,427,2013-08-10
197,Michigan Ave & Madison St,41.882134,-87.625125,19,36,2013-08-10
198,Halsted St & Madison St,41.88175,-87.6478,19,159,2013-08-10
199,Wabash Ave & Grand Ave,41.891738,-87.626937,15,4,2013-08-10
200,King Dr & 47Th St,41.809851,-87.616279,11,90,2013-08-14
201,Indiana Ave & 40Th St,41.82168,-87.6216,15,83,2013-08-14
202,Halsted St & 18Th St,41.857499,-87.646277,15,99,2013-08-15
203,Western Ave & 21St St,41.85394,-87.685243,15,91,2013-08-15
204,Prairie Ave & Garfield Blvd,41.7951,-87.61936,15,101,2013-08-14
205,Paulina St & 18Th St,41.857901,-87.668745,15,88,2013-08-15
206,Halsted St & Archer Ave,41.847203,-87.646795,15,98,2013-08-14
207,Emerald Ave & 28Th St,41.84358,-87.645368,15,399,2013-08-15
208,Ashland Ave & 21St St,41.85381,-87.665897,15,307,2013-08-15
209,Normal Ave & Archer Ave,41.849527,-87.640591,11,308,2013-08-15
210,Ashland Ave & Division St,41.903456,-87.66777,19,61,2013-08-16
211,St Clair St & Erie St,41.894448,-87.622663,19,16,2013-08-15
212,Wells St & Ohio St,41.892238,-87.633985,19,264,2013-08-16
213,Leavitt St & North Ave,41.910652,-87.6824,11,244,2013-08-16
214,Damen Ave & Grand Ave,41.89122,-87.67686,15,141,2013-08-16
215,Damen Ave & Madison St,41.88137,-87.67493,15,134,2013-08-15
216,California Ave & Division St,41.903029,-87.697474,15,256,2013-08-16
217,May St & Fulton St,41.886773,-87.656001,15,197,2013-08-16
218,Wells St & 19Th St,41.856802,-87.633879,11,180,2013-08-23
219,Damen Ave & Cortland Ave,41.916027,-87.677411,11,133,2013-08-20
220,Hampden Ct & Diversey Pkwy,41.93262,-87.642385,19,123,2013-08-19
222,Milwaukee Ave & Rockwell St,41.920195,-87.693033,19,242,2013-08-22
223,Clifton Ave & Armitage Ave,41.918216,-87.656936,15,185,2013-08-22
224,Halsted St & Willow St,41.913778,-87.64884,19,181,2013-08-22
225,Halsted St & Dickens Ave,41.919936,-87.64883,15,192,2013-08-19
226,Racine Ave & Belmont Ave,41.939743,-87.658865,15,230,2013-08-19
227,Southport Ave & Waveland Ave,41.94815,-87.66394,15,235,2013-08-20
228,Damen Ave & Melrose Ave,41.9406,-87.6785,11,143,2013-08-20
229,Southport Ave & Roscoe St,41.943739,-87.66402,19,71,2013-08-29
230,Lincoln Ave & Roscoe St,41.94334,-87.67097,19,78,2013-08-20
231,Sheridan Rd & Montrose Ave,41.96167,-87.65464,15,130,2013-08-20
232,Pine Grove Ave & Addison St,41.947836,-87.645416,15,273,2013-08-21
233,Sangamon St & Washington Blvd,41.883004,-87.651148,15,409,2013-08-29
234,Clark St & Montrose Ave,41.961588,-87.666036,19,316,2013-08-21
236,Sedgwick St & Schiller St,41.907576,-87.638517,15,410,2013-08-21
237,Martin Luther King Dr & 29Th St,41.842052,-87.617,15,214,2013-08-21
238,Ravenswood Ave & Montrose Ave,41.961626,-87.674101,15,92,2013-08-22
239,Western Ave & Leland Ave,41.966555,-87.688487,15,112,2013-08-21
240,Sheridan Rd & Irving Park Rd,41.95434,-87.654601,11,63,2013-08-21
241,Morgan St & Polk St,41.871737,-87.65103,15,168,2013-08-22
242,Damen Ave & Leland Ave,41.967094,-87.679028,15,93,2013-08-22
243,Lincoln Ave & Leavitt St,41.962391,-87.684146,15,126,2013-08-22
244,Ravenswood Ave & Irving Park Rd,41.95469,-87.67393,19,87,2013-08-22
245,Clarendon Ave & Junior Ter,41.961004,-87.649603,15,389,2013-08-26
246,Ashland Ave & Belle Plaine Ave,41.956061,-87.668869,11,249,2013-08-26
247,Shore Drive & 55Th St,41.795212,-87.580715,15,361,2013-08-23
248,Woodlawn Ave & 55Th St,41.795264,-87.596471,15,362,2013-08-23
249,Montrose Harbor,41.963982,-87.638181,15,388,2013-08-26
250,Ashland Ave & Wellington Ave,41.936083,-87.669807,19,269,2013-08-26
251,Clarendon Ave & Leland Ave,41.967968,-87.650001,15,385,2013-08-26
252,Greenwood Ave & 47Th St,41.809835,-87.599383,15,396,2013-08-27
253,Clifton Ave & Lawrence Ave,41.968873,-87.658857,15,104,2013-09-05
254,Pine Grove Ave & Irving Park Rd,41.954383,-87.648043,15,324,2013-09-09
255,Indiana Ave & Roosevelt Rd,41.867888,-87.623041,19,309,2013-09-05
256,Broadway & Sheridan Rd,41.952833,-87.649993,15,323,2013-09-05
257,Lincoln Ave & Waveland Ave,41.94911,-87.675112,15,253,2013-09-09
258,Logan Blvd & Elston Ave,41.930584,-87.685126,19,145,2013-09-09
259,California Ave & Francis Pl,41.91855,-87.69723,15,259,2013-09-12
260,Kedzie Ave & Milwaukee Ave,41.929567,-87.707857,19,85,2013-09-17
261,Hermitage Ave & Polk St,41.871514,-87.669886,15,80,2013-09-05
262,Halsted St & 37Th St,41.827071,-87.645801,11,414,2013-10-01
263,Rhodes Ave & 32Nd St,41.836208,-87.613533,11,215,2013-09-17
264,Stetson Ave & South Water St,41.886861,-87.622694,19,48,2013-09-18
265,Cottage Grove Ave & Oakwood Blvd,41.822985,-87.6071,15,346,2013-09-17
267,Lake Park Ave & 47Th St,41.809443,-87.591875,15,117,2013-09-17
268,Lake Shore Dr & North Blvd,41.911722,-87.626804,15,328,2013-09-12
271,Cottage Grove Ave & 43Rd St,41.816499,-87.606582,11,86,2013-09-12
272,Indiana Ave & 31St St,41.838842,-87.621857,11,219,2013-09-12
273,Michigan Ave & 18Th St,41.857937,-87.623633,15,150,2013-09-12
274,Racine Ave & 15Th St,41.861267,-87.656625,15,304,2013-09-12
275,Ashland Ave & 13Th St,41.865234,-87.666507,15,354,2013-09-12
276,California Ave & North Ave,41.91044,-87.6972,11,258,2013-09-12
277,Ashland Ave & Grand Ave,41.891072,-87.666611,15,434,2013-09-12
278,Wallace Ave & 35Th St,41.830629,-87.64129,15,417,2013-09-13
279,Halsted St & 35Th St,41.830661,-87.647172,15,413,2013-09-13
280,Morgan St & 31St St,41.8378,-87.65114,11,97,2013-09-13
281,Western Ave & 24Th St,41.84847,-87.685109,15,393,2013-09-13
282,Halsted St & Maxwell St,41.86458,-87.64693,15,161,2013-09-13
283,Lasalle St & Jackson Blvd,41.87817,-87.631985,23,32,2013-09-14
284,Michigan Ave & Jackson Blvd,41.87785,-87.62408,23,340,2013-09-14
285,Wood St & Grand Ave,41.89113,-87.67203,15,432,2013-09-13
286,Franklin St & Quincy St,41.878724,-87.634793,15,7,2013-09-14
287,Franklin St & Arcade Pl,41.881131,-87.635185,23,57,2013-09-13
288,Larrabee St & Armitage Ave,41.91797,-87.64368,11,184,2013-09-13
289,Wells St & Concord Ln,41.912202,-87.634664,19,182,2013-09-14
290,Kedzie Ave & Palmer Ct,41.921525,-87.707322,15,292,2013-10-09
291,Wells St & Evergreen Ave,41.906724,-87.63483,19,302,2013-09-14
292,Southport Ave & Clark St,41.957081,-87.664199,11,317,2013-09-14
293,Broadway & Wilson Ave,41.965287,-87.658774,19,74,2013-09-18
294,Broadway & Berwyn Ave,41.978353,-87.659753,15,109,2013-09-18
295,Broadway & Argyle St,41.972972,-87.659637,15,108,2013-09-18
296,Broadway & Belmont Ave,41.940106,-87.645451,15,277,2013-09-18
297,Paulina St & Montrose Ave,41.961507,-87.671387,15,250,2013-09-18
298,Lincoln Ave & Belle Plaine Ave,41.955927,-87.679259,15,252,2013-10-01
299,Halsted St & Roscoe St,41.943662,-87.648917,15,127,2013-09-19
300,Broadway & Barry Ave,41.937739,-87.644094,15,137,2013-09-19
301,Clark St & Schiller St,41.907993,-87.631501,19,200,2013-09-19
302,Sheffield Ave & Wrightwood Ave,41.928712,-87.653833,19,211,2013-09-20
303,Broadway & Cornelia Ave,41.945512,-87.64598,15,278,2013-09-19
304,Halsted St & Waveland Ave,41.949333,-87.649634,15,325,2013-09-19
305,Western Ave & Division St,41.902893,-87.687275,15,241,2013-09-21
306,Sheridan Rd & Buena Ave,41.9584,-87.65423,15,374,2013-09-23
307,Southport Ave & Clybourn Ave,41.921004,-87.663257,15,186,2013-09-25
308,Seeley Ave & Roscoe St,41.943403,-87.679618,11,144,2013-09-27
309,Leavitt St & Armitage Ave,41.917805,-87.682437,11,286,2013-09-20
310,Damen Ave & Charleston St,41.920082,-87.677855,11,288,2013-09-20
311,Lincoln Ave & Eastwood Ave,41.96583,-87.68651,15,237,2013-09-20
312,Clarendon Ave & Gordon Ter,41.957879,-87.649519,15,379,2013-09-20
313,Lakeview Ave & Fullerton Pkwy,41.925858,-87.638973,19,147,2013-09-20
314,Ravenswood Ave & Berteau Ave,41.957921,-87.673567,15,251,2013-09-27
315,Leavitt St & Hirsch St,41.906717,-87.682779,11,255,2013-09-21
316,Damen Ave & Sunnyside Ave,41.96325,-87.679258,19,315,2013-09-25
317,Wood St & Taylor St,41.869154,-87.671045,15,285,2013-09-21
318,Southport Ave & Irving Park Rd,41.954177,-87.664358,15,321,2013-09-21
319,Greenview Ave & Diversey Pkwy,41.932595,-87.665939,15,294,2013-09-26
320,Loomis St & Lexington St,41.872187,-87.661501,15,332,2013-09-21
321,Wabash Ave & 8Th St,41.871962,-87.626106,19,54,2013-09-21
322,Kimbark Ave & 53Rd St,41.799568,-87.594747,15,397,2013-09-21
323,Sheridan Rd & Lawrence Ave,41.969517,-87.654691,15,384,2013-09-23
324,Stockton Dr & Wrightwood Ave,41.93132,-87.638742,15,276,2013-10-03
325,Clark St & Winnemac Ave,41.973385,-87.668365,15,392,2013-09-23
326,Clark St & Leland Ave,41.967096,-87.667429,11,239,2013-09-27
327,Sheffield Ave & Webster Ave,41.921687,-87.653714,19,188,2013-09-25
328,Ellis Ave & 58Th St,41.788746,-87.601334,15,365,2013-09-25
329,Lake Shore Dr & Diversey Pkwy,41.932684,-87.63625,15,347,2013-09-25
330,Lincoln Ave & Addison St,41.946176,-87.673308,19,77,2013-09-26
331,Halsted St & Blackhawk St,41.90854,-87.648568,19,176,2013-09-28
332,Halsted St & Diversey Pkwy,41.933341,-87.648747,15,208,2013-09-28
333,Ashland Ave & Blackhawk St,41.907066,-87.667252,15,224,2013-09-27
334,Lake Shore Dr & Belmont Ave,41.940775,-87.639192,19,233,2013-09-27
335,Calumet Ave & 35Th St,41.831379,-87.618034,15,345,2013-10-17
336,Cottage Grove Ave & 47Th St,41.809855,-87.606755,15,422,2013-10-17
337,Clark St & Chicago Ave,41.896544,-87.630931,19,303,2013-09-27
338,Calumet Ave & 18Th St,41.857611,-87.619407,15,102,2013-09-28
339,Emerald Ave & 31St St,41.838198,-87.645143,11,404,2013-09-28
340,Clark St & Wrightwood Ave,41.929546,-87.643118,15,209,2013-10-24
341,Adler Planetarium,41.866095,-87.607267,19,431,2013-10-09
342,Wolcott Ave & Polk St,41.871262,-87.673688,15,284,2013-10-12
343,Racine Ave & Wrightwood Ave,41.928887,-87.658971,15,297,2013-10-24
344,Wolcott Ave & Lawrence Ave,41.968641,-87.676335,15,26,2013-10-09
345,Lake Park Ave & 56Th St,41.793242,-87.587782,15,119,2013-10-09
346,Ada St & Washington Blvd,41.88283,-87.661206,15,353,2013-10-10
347,Ashland Ave & Grace St,41.950687,-87.6687,15,319,2013-10-12
348,California Ave & 21St St,41.854016,-87.695445,15,96,2013-10-14
349,Halsted St & Wrightwood Ave,41.929143,-87.649077,15,210,2013-10-28
350,Ashland Ave & Chicago Ave,41.895966,-87.667747,15,247,2013-10-22
351,Cottage Grove Ave & 51St St,41.803038,-87.606615,15,440,2013-10-17
